code,core,state
500,Portland-Auburn,ME
501,New York,NY
502,Binghamton,NY
503,Macon,GA
504,Philadelphia,PA
505,Detroit,MI
506,Boston-Manchester,NH
507,Savannah,GA
508,Pittsburgh,PA
509,Ft. Wayne,IN
510,Cleveland-Akron-Canton,OH
511,"Washington, DC-Hagarstown",MD
512,Baltimore,MD
513,Flint-Saginaw-Bay City,MI
514,Buffalo,NY
515,Cincinnati,OH
516,Erie,PA
517,Charlotte,NC
518,Greensboro-High Point-Winston Salem,NC
519,"Charleston, SC",SC
520,Augusta,GA
521,Providence-New Bedford,MA
522,"Columbus, GA-Opelika, AL",GA
523,Burlington-Plattsburgh,NY
524,Atlanta,GA
525,"Albany, GA",GA
526,Utica,NY
527,Indianapolis,IN
528,Miami-Ft. Lauderdale,FL
529,Louisville,KY
530,Tallahassee-Thomasville,GA
531,"Tri-Cities, TN-VA",VA
532,Albany-Schenectady-Troy,NY
533,Hartford-New Haven,CT
534,Orlando-Daytona Beach-Melbourne,FL
535,"Columbus, OH",OH
536,Youngstown,OH
537,Bangor,ME
538,"Rochester, NY",NY
539,Tampa-St. Petersburg-Sarasota,FL
540,Traverse City-Cadillac,MI
541,Lexington,KY
542,Dayton,OH
543,Springfield-Holyoke,MA
544,Norfolk-Portsmith-Newport News,VA
545,"Greenville-New Bern-Washington,Nc",NC
546,"Columbia, SC",SC
547,Toledo,OH
548,West Palm Beach-Ft. Pierce,FL
549,Watertown,NY
550,Wilmington,NC
551,Lansing,MI
552,Presque Isle,ME
553,Marquette,MI
554,Wheeling-Steubenville,OH
555,Syracuse,NY
556,Richmond-Petersburg,VA
557,Knoxville,TN
558,Lima,OH
559,Bluefield-Beckley-Oak Hill,WV
560,Raleigh-Durham-Fayettevlle,NC
561,Jacksonville,FL
563,Grand Rapids-Kalmzoo-Battlecreek,MI
564,Charleston-Huntington,WV
565,Elmira-Corning,NY
566,"Harrisburg-Lancaster-Lebanon-York,PA",PA
567,Greenville-Sparta-Asheville,SC
569,Harrisonburg,VA
570,Myrtle Beach-Florence,SC
571,Ft. Myers-Naples,FL
573,Roanoke-Lynchburg,VA
574,Johnstown-Altoona-St Colge,PA
575,Chattanooga,TN
576,Salisbury,MD
577,Wilkes Barre-Scranton,PA
581,Terre Haute,IN
582,"Lafayette, IN",IN
583,Alpena,MI
584,Charlottesville,VA
588,South Bend-Elkhart,IN
592,Gainesville,FL
596,Zanesville,OH
597,Parkersburg,WV
598,Clarksburg-Weston,WV
600,Corpus Christi,TX
602,Chicago,IL
603,Joplin-Pittsburg,KS
604,Columbia-Jefferson City,MO
605,Topeka,KS
606,Dothan,AL
609,St. Louis,MO
610,Rockford,IL
611,Rochestr-Mason City-Austin,MN
612,Shreveport,LA
613,Minneapolis-St. Paul,MN
616,Kansas City,MO
617,Milwaukee,WI
618,Houston,TX
619,"Springfield, MO",MO
622,New Orleans,LA
623,Dallas-Ft. Worth,TX
624,Sioux City,IA
625,Waco-Temple-Bryan,TX
626,Victoria,TX
627,Wichita Falls & Lawton,OK
628,Monroe-El Dorado,AR
630,Birmingham-Anniston-Tuscaloosa,AL
631,Ottumwa-Kirksville,MO
632,Paducah-Cape Girardo-Harrisburg,IL
633,Odessa-Midland,TX
634,Amarillo,TX
635,Austin,TX
636,Harlingen-Weslaco-Brownsville-Mcarthur,TX
637,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",IA
638,St. Joseph,MO
639,"Jackson, TN",TN
640,Memphis,TN
641,San Antonio,TX
642,"Lafayette, LA",LA
643,Lake Charles,LA
644,"Alexandria, LA",LA
647,Greenwood-Greenville,MS
648,Champaign & Springfield-Decatur,IL
649,Evansville,IN
650,Oklahoma City,OK
651,Lubbock,TX
652,Omaha,NE
656,Panama City,FL
657,Sherman-Ada,OK
658,Green Bay-Appleton,WI
659,Nashville,TN
661,San Angelo,TX
662,Abilene-Sweetwater,TX
669,Madison,WI
670,Ft. Smith-Fayetteville-Sprngdale-Rogers,AR
671,Tulsa,OK
673,Columbus-Tupelo-West Point,MS
675,Peoria-Bloomington,IL
676,Duluth-Superior,WI
678,Wichita-Hutchinson Plus,KS
679,Des Moines-Ames,IA
682,Davenport-R.Island-Moline,IL
686,Mobile-Pensacola,FL
687,Minot-Bismarck-Dickinson,ND
691,Huntsville-Decatur-Florence,AL
692,Beaumont-Port Arthur,TX
693,Little Rock-Pine Bluff,AR
698,Montgomery-Selma,AL
702,La Crosse-Eau Claire,WI
705,Wausau-Rhinelander,WI
709,Tyler-Longview (Lufkin&Nacogdoches),TX
710,Hattiesburg-Laurel,MS
711,Meridian,MS
716,Baton Rouge,LA
717,Quincy-Hannibal-Keokuk,IA
718,"Jackson, MS",MS
722,Lincoln & Hastings-Kearny,NE
724,Fargo-Valley City,ND
725,Sioux Falls-Mitchell,SD
734,Jonesboro,AR
736,Bowling Green,KY
737,Mankato,MN
740,North Platte,NE
743,Anchorage,AK
744,Honolulu,HI
745,Fairbanks,AK
746,Biloxi-Gulfport,MS
747,Juneau,AK
749,Laredo,TX
751,Denver,CO
752,Colorado Springs-Pueblo,CO
753,Phoenix-Prescott,AZ
754,Butte-Bozeman,MT
755,Great Falls,MT
756,Billings,MT
757,Boise,ID
758,Idaho Falls-Pocatello-Jackson,ID
759,Cheyenne-Scottsbluff,NE
760,Twin Falls,ID
762,Missoula,MT
764,Rapid City,SD
765,El Paso-Las Cruces,TX
766,Helena,MT
767,Casper-Riverton,WY
770,Salt Lake City,UT
771,Yuma-El Centro,CA
773,Grand Junction-Montrose,CO
789,Tucson-Sierra Vista,AZ
790,Albuquerque-Santa Fe,NM
798,Glendive,MT
800,Bakersfield,CA
801,Eugene,OR
802,Eureka,CA
803,Los Angeles,CA
804,Palm Springs,CA
807,San Francisco-Oakland-San Jose,CA
810,Yakima-Pasco-Richland-Kennwick,WA
811,Reno,NV
813,Medford-Klamath Falls,OR
819,Seattle-Tacoma,WA
820,"Portland, OR",OR
821,"Bend, OR",OR
825,San Diego,CA
828,Monterey-Salinas,CA
839,Las Vegas,NV
855,Santa Barbara-Santa Maria-San Luis Obispo,CA
862,Sacramento-Stockton-Modesto,CA
866,Fresno-Visalia,CA
868,Chico-Redding,CA
881,Spokane,WA
